"","player_name","batter"
"589","Springer, George",543807
"590","Stallings, Jacob",607732
"591","Stanton, Giancarlo",519317
"592","Stassi, Max",545358
"593","Steer, Spencer",668715
"594","Stefanic, Michael",683021
"595","Stephenson, Tyler",663886
"596","Stevenson, Cal",670276
"597","Stewart, DJ",621466
"598","Story, Trevor",596115
"599","Stott, Bryson",681082
"600","Stowers, Kyle",669065
"601","Strange-Gordon, Dee",543829
"602","Straw, Myles",664702
"603","Stubbs, Garrett",596117
"604","Suárez, Eugenio",553993
"605","Suwinski, Jack",669261
"606","Suzuki, Kurt",435559
"607","Suzuki, Seiya",673548
"608","Swaggerty, Travis",680552
"609","Swanson, Dansby",621020
"610","Tapia, Raimel",606132
"611","Taveras, Leody",665750
"612","Taylor, Chris",621035
"613","Taylor, Michael A.",572191
"614","Taylor, Tyrone",621438
"615","Tellez, Rowdy",642133
"616","Thaiss, Matt",642136
"617","Thomas, Alek",677950
"618","Thomas, Cody",642137
"619","Thomas, Dillon",605504
"620","Thomas, Lane",657041
"621","Thompson, Bubba",669352
"622","Thompson, Trayce",572204
"623","Toglia, Michael",669911
"624","Tom, Ka'ai",664789
"625","Torkelson, Spencer",679529
"626","Toro, Abraham",647351
"627","Torrens, Luis",620443
"628","Torres, Gleyber",650402
"629","Tovar, Ezequiel",678662
"630","Trammell, Taylor",666211
"631","Trejo, Alan",676701
"632","Trevino, Jose",624431
"633","Tromp, Chadwick",644433
"634","Trout, Mike",545361
"635","Tsutsugo, Yoshi",660294
"636","Tucker, Cole",657061
"637","Tucker, Kyle",663656
"638","Turner, Justin",457759
"639","Turner, Trea",607208
"640","Upton, Justin",457708
"641","Urías, Luis",649966
"642","Urías, Ramón",602104
"643","Urshela, Gio",570482
"644","VanMeter, Josh",642165
"645","Vargas, Ildemaro",545121
"646","Vargas, Miguel",678246
"647","Varsho, Daulton",662139
"648","Vaughn, Andrew",683734
"649","Vavra, Terrin",679631
"650","Vázquez, Christian",543877
"651","Velazquez, Andrew",623205
"652","Velázquez, Nelson",676369
"653","Verdugo, Alex",657077
"654","Vientos, Mark",668901
"655","Vierling, Matt",663837
"656","Villar, David",681584
"657","Villar, Jonathan",542340
"658","Viloria, Meibrys",650619
"659","Vogelbach, Daniel",596129
"660","Vogt, Stephen",519390
"661","Voit, Luke",572228
"662","Vosler, Jason",613564
"663","Votto, Joey",458015
"664","Wade Jr., LaMonte",664774
"665","Wade, Tyler",642180
"666","Walker, Christian",572233
"667","Walker, Steele",667727
"668","Wallach, Chad",595453
"669","Wallner, Matt",670242
"670","Walls, Taylor",670764
"671","Walsh, Jared",665120
"672","Walton, Donovan",622268
"673","Ward, Taylor",621493
"674","Waters, Drew",671221
"675","Wendle, Joey",621563
"676","White, Eli",642201
"677","Whitefield, Aaron",664334
"678","Williams, Luke",663897
"679","Wilson, Marcus",657129
"680","Winker, Jesse",608385
"681","Wisdom, Patrick",621550
"682","Witt Jr., Bobby",677951
"683","Wolters, Tony",547172
"684","Wong, Connor",657136
"685","Wong, Kolten",543939
"686","Wynns, Austin",642851
"687","Yastrzemski, Mike",573262
"688","Yelich, Christian",592885
"689","Yepez, Juan",660766
"690","Young, Jared",676724
"691","Zavala, Seby",664874
"692","Zimmer, Bradley",605548
"693","Zunino, Mike",572287
